IdNo,GameName,Genre,Top_Country,Country_Code,Continent,Releaseyear,PlayerNo,TournamentNo, Top_Country_Earnings , TotalMoney 
592,Teamfight Tactics,Strategy,United States,US,North America,2019,159,15,233175,819313.65
339,Ultra Street Fighter IV,Fighting Game,Japan,JP,Asia,2014,231,229,460748.79,816713.46
577,Forza Motorsport 7,Racing,United Kingdom,UK,Europe,2017,118,12,246033.36,800200
449,Vainglory,Multiplayer Online Battle Arena,United States,US,North America,2014,247,35,216009.95,797421.19
507,Clash of Clans,Strategy,China,CN,Asia,2012,77,6,268750,766546.87
335,Team Fortress 2,First-Person Shooter,United States,US,North America,2007,1364,197,348503.14,718078.81
346,Point Blank,First-Person Shooter,Russian Federation,RU,Europe,2008,297,32,212436.26,699167.75
157,Quake Live,First-Person Shooter,United States,US,North America,2010,213,410,235711.84,682294.04
555,FIFA Online 4,Sports,Korea,KP,Asia,2018,84,4,213999.96,679240
704,Call of Duty: Blackout,First-Person Shooter,United States,US,North America,2018,175,18,429158.72,611608.35
483,KartRider,Racing,Korea,KP,Asia,2004,76,20,560130.35,567366.35
169,Quake 4,First-Person Shooter,Sweden,SE,Europe,2005,100,52,231225.67,556678.51
610,F1 2019,Racing,Italy,IT,Europe,2019,25,2,133333.32,538047.38
391,Mortal Kombat X,Fighting Game,United States,US,North America,2015,100,62,411599.58,523532.42
451,Pro Evolution Soccer 2017,Sports,Brazil,BR,South America,2016,39,16,206000,514697.71
192,Dead or Alive 4,Fighting Game,United States,US,North America,2005,45,13,228250,497745.31
381,Guild Wars 2,Role-Playing Game,United States,US,North America,2012,152,57,161799.53,476005.5
384,Halo 2 Anniversary,First-Person Shooter,United States,US,North America,2014,97,20,406262.5,468705.05
255,FIFA 13,Sports,Sweden,SE,Europe,2012,53,62,150750.89,458427.82
627,TEPPEN,Strategy,Taiwan,TW,Asia,2019,12,1,280883.69,456721.47
256,Halo 4,First-Person Shooter,United States,US,North America,2012,66,19,419402.56,430748.76
557,Old School Runescape,Role-Playing Game,United Kingdom,UK,Europe,2013,66,22,170313.7,422504.2
264,Call of Duty 4: Modern Warfare,First-Person Shooter,United Kingdom,UK,Europe,2007,422,86,104318.64,420331.47
405,Blade& Soul,Multiplayer Online Battle Arena,Korea,KP,Asia,2012,51,5,234303.31,409355.52
463,Counter-Strike Online,First-Person Shooter,China,CN,Asia,2016,70,12,286759.6,406989.6
275,Madden NFL 2013,Sports,United States,US,North America,2012,8,1,209200,400000
583,Mortal Kombat 11,Fighting Game,United States,US,North America,2019,158,37,271196.3,392602.33
243,Call of Duty: Black Ops,First-Person Shooter,United States,US,North America,2010,118,23,302375.01,375793.48
208,Super Street Fighter IV Arcade Edition,Fighting Game,Japan,JP,Asia,2010,153,202,160296.98,343878.08
541,Dragon Ball FighterZ,Fighting Game,Japan,JP,Asia,2018,159,73,166119.31,337985.4
638,WarCraft III: Reforged,Strategy,China,CN,Asia,2020,77,61,137680.86,314925.29
696,Fall Guys,Battle Royale,United States,US,North America,2020,237,4,242375,302000
153,Halo: Combat Evolved,First-Person Shooter,United States,US,North America,2001,114,39,183416,299281
663,Hyper Scape,Multiplayer Online Battle Arena,United States,US,North America,2020,260,4,135116.66,299000
180,Project Gotham Racing 3,Racing,United States,US,North America,2005,33,10,200000,297286.85
347,World in Conflict,Strategy,United Kingdom,UK,Europe,2007,38,11,62120.63,293338.23
519,Madden NFL 2018,Sports,United States,US,North America,2017,40,3,230567.66,279676.62
559,Minecraft,Multiplayer Online Battle Arena,United States,US,North America,2011,81,14,119775,279539.15
546,Realm Royale,First-Person Shooter,United States,US,North America,2018,47,9,208250,263000
254,ShootMania Storm,First-Person Shooter,France,FR,Europe,2013,80,40,103365.62,261687.04
170,Doom 3,First-Person Shooter,China,CN,Asia,2004,14,4,144748.16,257748.16
214,Gears of War,Third-Person Shooter,United States,US,North America,2006,33,18,4878.3,252195.57
550,Pro Evolution Soccer 2018,Sports,Italy,IT,Europe,2017,20,3,108000,250000
205,Super Smash Bros. Brawl,Fighting Game,United States,US,North America,2008,499,344,197341.12,246715.83
274,Battlefield 4,First-Person Shooter,France,FR,Europe,2013,204,145,42107,245766.46
219,FIFA 07,Sports,Canada,CA,North America,2006,42,13,55000,237812.23
333,Killer Instinct (2013),Fighting Game,United States,US,North America,2013,128,53,213827.07,224466.96
270,Forza Motorsport 2,Racing,United Kingdom,UK,Europe,2007,17,2,125000,222000
645,Pro Evolution Soccer 2019,Sports,Brazil,BR,South America,2019,25,2,93400,216000
503,Pokémon VGC,Strategy,United States,US,North America,2017,170,24,82250,211500
218,FIFA 08,Sports,United Kingdom,UK,Europe,2007,68,17,53473.11,207129.94
331,Project M,Fighting Game,United States,US,North America,2010,560,335,164361.47,205292.09
662,NASCAR Heat 4,Racing,United States,US,North America,2019,34,5,200500,200500
579,F1 2018,Racing,United Kingdom,UK,Europe,2018,21,1,56833.33,200000
571,Guns of Boom,First-Person Shooter,United Kingdom,UK,Europe,2017,8,21,20887.5,198750
272,TrackMania 2: Stadium,Racing,France,FR,Europe,2013,345,281,63229.78,198363.85
553,Assetto Corsa,Racing,Czech Republic,CZ,Europe,2014,81,31,68689.4,191851.7
510,Age of Empires,Strategy,Vietnam,VN,Asia,1997,246,95,123408.43,190075.61
528,Battalion 1944,First-Person Shooter,United States,US,North America,2018,114,21,42650,185654.67
366,F.E.A.R.,First-Person Shooter,Sweden,SE,Europe,2005,20,5,76500,178000
265,Rainbow Six: Vegas,First-Person Shooter,United States,US,North America,2006,137,7,53737.32,176400.77
